TIME,year,month,T#AE#EU,T#AL#EU,T#AO#EU,T#AT#EU,T#AU#EU,T#BA#EU,T#BE#EU,T#BG#EU,T#BR#EU,T#BY#EU,T#CA#EU,T#CH#EU,T#CL#EU,T#CN#EU,T#CU#EU,T#CV#EU,T#CY#EU,T#CZ#EU,T#DE#EU,T#DK#EU,T#DZ#EU,T#EE#EU,T#EG#EU,T#ES#EU,T#FI#EU,T#FR#EU,T#GB#EU,T#GR#EU,T#HK#EU,T#HR#EU,T#HU#EU,T#IE#EU,T#IL#EU,T#IN#EU,T#IS#EU,T#IT#EU,T#JP#EU,T#KR#EU,T#KW#EU,T#KZ#EU,T#LB#EU,T#LI#EU,T#LT#EU,T#LU#EU,T#LV#EU,T#MA#EU,T#MD#EU,T#MK#EU,T#MT#EU,T#MX#EU,T#MY#EU,T#NG#EU,T#NL#EU,T#NO#EU,T#NZ#EU,T#PL#EU,T#PT#EU,T#RO#EU,T#RU#EU,T#SA#EU,T#SE#EU,T#SG#EU,T#SI#EU,T#SK#EU,T#TH#EU,T#TN#EU,T#TR#EU,T#TW#EU,T#UA#EU,T#US#EU,T#ZA#EU,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
1999-07-01,1999,7,,14923.71,,3222180.57,54854.29,109704.0,3363900.86,,,,137698.57,2570636.57,,104307.14,,,50476.57,495958.71,23728179.29,3778872.43,,82862.0,332017.86,2802342.86,284553.71,7157405.86,7055167.0,392074.14,151787.57,186025.43,649970.29,545117.0,611368.0,,204016.29,6159430.86,253010.0,659254.86,,,,,57323.43,233606.43,,240327.43,,15425.29,,,,,19481029.0,1841125.14,,628035.57,718213.43,24849.57,150838.57,224916.71,3448201.0,,571838.71,241242.71,,,248792.71,,,1889674.57,70247.14,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-08-01,1999,8,,12456.14,,3272660.71,52495.71,97248.43,3168931.71,,,,151544.71,2366593.71,,112212.14,,,,523370.14,22017102.86,3677541.86,,95413.14,377151.57,2674191.29,274889.71,6806197.29,6833024.43,380406.86,,191206.57,665488.57,517188.86,654126.0,,198504.0,5618648.57,274838.0,589842.57,,,,,62434.57,224725.14,,,,17673.71,,,,,19200621.29,1765220.57,,549988.71,714043.71,26315.14,151944.57,305776.14,3444394.43,,488971.57,253348.86,,,281903.71,61926.0,6138.43,1998859.86,63387.14,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-09-01,1999,9,,13398.0,,3338338.14,61973.43,106394.71,3160531.14,,,,172373.57,2425084.71,,108475.57,,,,581860.57,22563666.57,3656457.29,,101412.86,447099.0,2817758.71,278664.29,6915096.71,7288011.71,416154.43,,181976.57,655171.43,591935.57,726490.43,,220395.43,5889223.86,291477.29,542101.29,,,,,61186.43,238774.57,,,,15659.86,,,,,19480472.43,1857562.29,,526193.57,768450.0,25917.57,152154.43,297947.43,3609669.57,,521767.14,296679.57,,,305926.43,,6542.29,2023230.0,70090.86,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-10-01,1999,10,,14254.29,,3236591.14,63095.14,108183.86,2897839.14,,,,186089.14,2429072.57,,109157.43,,,,645836.29,22509357.86,3248300.57,,114400.86,416388.43,2837443.14,231609.0,6885168.57,7320626.43,389233.0,,173648.14,634677.71,582676.43,769268.86,,220325.0,6059749.0,315815.86,427954.71,,,,,66387.57,246396.86,,,,24814.29,,,,,18944042.43,1940754.14,,503818.0,742205.71,31866.14,148416.57,264681.0,3694151.71,,473204.29,310356.86,,,313009.57,,4210.43,1999967.86,84298.71,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-11-01,1999,11,,15246.71,,3120967.0,64823.14,113043.43,2782163.14,,,,188353.43,2494082.57,,110166.57,,,,680215.86,23016997.0,3201783.29,,121711.14,436410.71,2756846.57,188980.14,6914675.43,7375140.86,424840.71,,173936.29,674457.86,626015.0,746271.71,,223574.43,6087944.43,313219.43,322636.57,,,,,73280.29,253862.14,,,,30417.14,,,,,18778788.57,2014412.0,,526774.57,738805.0,37493.57,105932.71,293075.86,3845749.0,,475181.29,302716.43,,,329500.0,,7430.71,1960925.14,79407.0,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-12-01,1999,12,,8876.71,,3049624.86,67847.14,121181.57,2789427.57,,,,211095.71,2427035.14,,119497.57,,,,719213.14,22949566.71,3038727.0,,137600.0,452718.86,2704230.71,167209.86,6931447.43,7602057.57,411503.29,,146296.86,620368.86,655283.71,1048484.0,,224959.0,5944490.14,303062.14,203357.0,,,,,80212.43,251370.14,,,,29149.71,,,,,18302573.29,2007547.29,,511884.71,655590.86,39969.0,75678.14,275666.71,3910249.57,,499786.57,300025.29,,,332368.57,,6844.86,1864295.0,85071.57,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
2000-01-01,2000,1,,11225.86,8063.0,2819965.14,60172.43,119993.43,2912339.71,,,,210960.29,2314070.86,,48958.29,,,,712995.43,23215545.43,2692833.86,,147060.71,405710.14,2548505.57,163360.71,7016530.43,7474105.14,353915.57,,127298.57,572499.29,568277.86,1062115.57,,207653.29,5874960.14,290469.57,133987.86,,,,,85979.14,223288.86,,,,32495.86,,,,,18504596.57,2074733.43,,522806.29,684168.0,34925.0,69664.29,,4000662.14,,485080.86,281336.0,,,304752.57,,6036.0,1757548.14,66823.29,24945.1,21738.27,26300.63,24355.25,15581.93,26337.6,1.32,1.79,0.71,0.7,2.47,2.2
2000-02-01,2000,2,,11625.86,,2934263.43,55183.43,52577.29,3254326.0,,,,219709.29,2409610.71,,66592.14,,,,722795.0,24262602.57,3216552.14,,159076.57,379052.0,2721102.14,208172.71,7140619.14,7364039.0,318277.43,,108129.29,580497.29,573390.57,1129973.43,,213679.14,6135645.71,283169.29,133052.43,,,,,85138.71,231454.86,6391.43,,,41051.14,,,,,19542973.14,2282968.0,,488605.29,729450.57,42088.29,75293.14,,4366344.29,,533827.29,292819.71,,,303010.57,,5689.14,1705999.86,57833.29,24637.4,21471.49,25866.32,24032.12,15443.23,26337.1,1.53,1.91,0.83,0.86,2.63,2.76
2000-03-01,2000,3,,12244.57,,3176156.29,57555.43,,3438937.86,,,,210318.71,2598854.43,,69656.71,,,78423.29,729895.0,26212910.14,3307329.14,,156789.57,365820.43,2980820.71,237266.86,7791513.57,7797075.14,350899.43,139030.71,111701.29,631440.86,629533.86,1114951.29,,233263.71,6843658.0,325612.71,134281.14,,,,2965.57,84715.43,257030.71,8974.71,237159.29,,46038.0,,,,,20879565.57,2355505.29,,496540.43,758956.57,42822.43,77786.57,,4523418.0,,574688.43,309906.71,,,296308.86,,7226.57,1758495.86,61251.0,24329.7,21204.71,25432.01,23708.98,15304.52,26336.59,1.73,2.04,0.95,1.03,2.79,3.33
2000-04-01,2000,4,,,,3135797.43,48274.86,,3567059.0,,,,249750.0,2562916.14,,110147.57,,,82042.71,718466.14,25260194.71,3671654.43,,164627.57,319788.71,2883446.29,249883.57,7854584.43,7692175.29,364030.57,,122840.43,641637.43,572464.29,1276489.43,,230868.29,6695695.43,327496.0,136400.43,,,,2969.43,86710.43,260465.0,8015.29,246999.43,,47370.0,,,,,20776655.14,2267680.29,,519236.86,724909.71,43281.86,75689.43,,4517363.43,,569602.0,262037.43,,,323812.86,,7551.43,1829667.43,57314.0,24021.99,20937.93,24997.7,23385.84,15165.81,26336.08,1.93,2.16,1.07,1.19,2.95,3.89
