TIME,year,month,T#AT#IT,T#AU#IT,T#BE#IT,T#CH#IT,T#CY#IT,T#CZ#IT,T#DE#IT,T#DK#IT,T#ES#IT,T#FR#IT,T#GB#IT,T#GR#IT,T#HR#IT,T#HU#IT,T#IL#IT,T#MT#IT,T#NL#IT,T#NO#IT,T#PL#IT,T#PT#IT,T#RO#IT,T#RU#IT,T#SE#IT,T#SI#IT,T#SK#IT,T#TR#IT,T#US#IT,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
1999-07-01,1999,7,386711.43,,,478412.71,,,3514224.43,25445.14,21793.14,220892.14,591061.86,,,,,,139872.43,,,,,,,145045.57,,,50843.43,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-08-01,1999,8,365172.57,,,432815.29,,,3172703.57,28399.86,,185595.86,503014.57,,,,149204.43,,121790.57,,,,,,26620.86,118383.43,,,44729.29,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-09-01,1999,9,386410.43,,,440180.57,,,3266733.14,26068.29,,195703.86,539733.86,,,,172102.29,,140452.71,,,,,42155.43,24337.86,117817.71,,,,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-10-01,1999,10,366119.14,,,408447.86,,,3198414.43,19923.0,,200272.14,523564.14,,,,186541.57,,145951.14,,,,,,21208.29,108999.0,,,,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-11-01,1999,11,374857.29,,,428720.0,,,3157062.14,21571.86,,196626.43,500688.86,,,,160400.29,,139654.71,,,,,,20329.14,109820.71,,,,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
1999-12-01,1999,12,370942.29,,,406913.57,,,3114288.0,22194.57,,218088.0,493507.57,,,,217908.86,,152659.71,,,,,,22035.57,103200.0,,,,25252.8,22005.05,26734.94,24678.39,15720.64,26338.11,1.12,1.66,0.59,0.54,2.31,1.63
2000-01-01,2000,1,333756.71,,,354401.86,,,3148486.0,28286.43,,228039.86,554804.0,,,,214019.14,,152333.0,,,,,,19749.86,116636.14,,,,24945.1,21738.27,26300.63,24355.25,15581.93,26337.6,1.32,1.79,0.71,0.7,2.47,2.2
2000-02-01,2000,2,326873.14,,,336147.43,,,3272372.0,27676.57,,254167.71,537135.43,,,,214376.14,,147111.14,,,,,,19832.43,120791.0,,,,24637.4,21471.49,25866.32,24032.12,15443.23,26337.1,1.53,1.91,0.83,0.86,2.63,2.76
2000-03-01,2000,3,359224.57,,36011.86,388439.57,,,3738770.43,25125.86,,327436.71,639701.86,,,,214337.0,,172248.0,,,,,,18783.86,135379.14,,,,24329.7,21204.71,25432.01,23708.98,15304.52,26336.59,1.73,2.04,0.95,1.03,2.79,3.33
2000-04-01,2000,4,346815.71,,36258.86,380764.71,,,3606053.14,22746.14,,334496.14,617292.71,,,,319108.29,,151253.0,,,,,,20803.29,147308.43,,,,24021.99,20937.93,24997.7,23385.84,15165.81,26336.08,1.93,2.16,1.07,1.19,2.95,3.89
2000-05-01,2000,5,347243.57,,33293.86,412834.29,,,3642364.71,25369.57,,349820.0,646755.57,,,,298929.86,,148206.71,,,,,,24663.57,145639.71,,,,23714.29,20671.15,24563.38,23062.7,15027.1,26335.58,2.14,2.29,1.2,1.35,3.11,4.46
