STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2016-02,1598
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2008-01,3110
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2012-06,56
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2021-01,275
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,1999-01,15549
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2007-01,1051
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2000-01,3271
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2002-02,2719
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2003-01,2355
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2009-01,8824
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2004-01,22116
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2023-01,3606
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2006-01,1131
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2018-01,16551
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2013-01,1529
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2019-02,17766
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2020-01,13221
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2005-01,980
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2017-01,1935
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2015-01,1868
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2011-01,694
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2010-02,24330
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2024-02,4450
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2014-02,416
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2001-02,910
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2022-01,7476
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2001-03,8828
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2014-07,3410
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2021-02,6514
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,1999-02,19800
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2016-03,10869
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2011-02,1390
dataflow,ESTAT:DS-018995(1.0),M,EU27_2020,AD,6343,2,VALUE_IN_EUROS,2018-02,1426
