TIME,year,month,T#AT#lamb_light,T#BE#lamb_light,T#BG#lamb_light,T#CY#lamb_light,T#DE#lamb_light,T#EL#lamb_light,T#ES#lamb_light,T#FI#lamb_light,T#FR#lamb_light,T#HR#lamb_light,T#HU#lamb_light,T#IE#lamb_light,T#IT#lamb_light,T#LT#lamb_light,T#LV#lamb_light,T#NL#lamb_light,T#PL#lamb_light,T#PT#lamb_light,T#RO#lamb_light,T#SE#lamb_light,T#SI#lamb_light,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2015-02-09,2015,2,522.29,467.91,721.38,610.57,508.6,494.72,701.17,386.13,656.29,565.38,609.02,485.36,588.98,437.1,327.23,484.43,358.01,519.14,241.56,444.47,543.01,0.53,0.07,0.57,0.1,-0.45,-0.22,41973.41,31002.86,42091.92,37569.44,26291.4,61261.19
2015-02-16,2015,2,522.57,470.27,721.61,614.14,508.66,488.39,693.78,384.86,651.14,592.05,595.92,490.3,563.08,431.93,343.08,490.92,354.35,518.29,255.93,461.27,546.45,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-02-23,2015,2,525.0,473.81,721.61,615.43,510.73,482.68,686.26,380.82,646.0,624.81,581.68,494.13,555.63,431.32,349.65,496.83,355.62,518.0,255.97,479.08,554.02,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-03-02,2015,3,526.86,478.53,721.8,614.29,513.31,478.85,676.43,376.79,640.0,637.28,571.04,500.43,551.28,418.49,360.81,504.34,357.11,518.0,255.16,495.7,552.49,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-03-09,2015,3,530.0,484.6,721.8,612.57,516.78,474.69,667.09,372.75,637.43,677.3,570.55,507.61,552.39,407.24,362.68,512.37,365.36,518.0,269.29,508.01,551.41,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-03-16,2015,3,531.14,494.68,721.8,609.29,522.21,472.56,655.9,370.0,637.14,675.99,574.55,508.47,564.51,420.1,363.95,521.51,374.12,518.0,281.73,519.01,552.05,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-03-23,2015,3,535.0,509.5,721.54,606.86,529.86,472.61,644.54,368.86,640.0,669.19,585.15,514.67,589.59,441.63,368.52,535.28,382.73,516.29,279.98,529.46,557.11,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-03-30,2015,3,539.57,532.52,722.06,603.57,536.52,482.15,636.45,367.73,645.86,666.16,596.92,523.1,617.62,463.73,368.88,544.86,391.09,515.14,299.22,536.26,560.49,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-04-06,2015,4,541.43,554.95,722.06,601.86,544.56,493.39,627.93,366.59,651.57,666.73,601.66,530.52,628.28,475.53,363.4,552.04,400.23,511.71,306.67,538.39,555.67,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
2015-04-13,2015,4,542.43,575.48,722.06,602.86,551.55,500.31,618.01,368.22,656.71,648.67,607.18,539.33,634.45,468.89,367.57,561.5,410.19,506.86,319.4,544.7,560.97,0.56,0.04,0.51,0.04,-0.5,-0.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26
