TIME,year,month,T#BE#burro,T#DE#burro,T#ES#burro,T#FR#burro,T#IE#burro,T#NL#burro,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
1991-02-18,1991,2,269.18,271.49,265.57,281.89,269.53,264.17,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-02-25,1991,2,268.82,270.89,266.12,281.17,269.53,263.36,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-04,1991,3,268.33,270.58,266.22,265.16,269.05,262.82,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-11,1991,3,267.85,270.28,266.18,264.52,268.56,262.55,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-18,1991,3,267.52,270.1,265.73,263.89,268.72,262.55,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-25,1991,3,267.2,269.91,265.77,263.67,268.23,262.55,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-01,1991,4,266.86,269.73,265.32,263.45,268.4,262.82,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-08,1991,4,266.45,269.73,265.12,263.36,268.56,263.09,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-15,1991,4,266.21,269.73,265.18,263.27,268.56,263.36,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-22,1991,4,266.04,269.73,265.61,263.36,268.56,263.63,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-29,1991,4,265.77,269.61,266.59,263.45,268.56,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-06,1991,5,265.58,269.49,267.67,263.64,268.56,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-13,1991,5,265.47,269.37,266.54,263.8,268.4,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-20,1991,5,265.39,269.06,266.61,264.02,268.23,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-27,1991,5,265.39,268.76,266.55,264.38,268.07,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-03,1991,6,265.39,268.46,266.03,265.1,267.91,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-10,1991,6,262.8,268.15,266.14,265.82,267.75,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-17,1991,6,,267.97,265.49,266.69,267.58,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-24,1991,6,263.35,267.79,265.33,267.69,267.42,263.9,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-01,1991,7,263.73,267.73,265.38,268.83,267.42,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-08,1991,7,264.11,268.03,265.2,270.01,266.61,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-15,1991,7,264.52,268.58,265.65,271.09,265.79,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-22,1991,7,264.97,269.13,266.73,271.91,264.66,264.97,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
