TIME,year,month,T#AT#pigmeat_e,T#BE#pigmeat_e,T#DE#pigmeat_e,T#DK#pigmeat_e,T#EL#pigmeat_e,T#ES#pigmeat_e,T#FI#pigmeat_e,T#FR#pigmeat_e,T#IE#pigmeat_e,T#LU#pigmeat_e,T#NL#pigmeat_e,T#PT#pigmeat_e,T#SE#pigmeat_e,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
1991-02-11,1991,2,,135.81,117.93,104.77,128.28,127.39,,122.46,116.2,133.4,111.47,,,,,,,,,,,,,,
1991-02-18,1991,2,,138.17,120.8,105.39,127.55,129.87,,125.5,118.06,133.26,113.65,,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-02-25,1991,2,,139.8,123.55,106.4,127.68,133.18,,128.64,119.88,134.28,115.81,,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-04,1991,3,,141.4,126.59,107.4,127.64,136.17,,131.17,121.71,135.63,118.27,,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-11,1991,3,,142.81,128.89,108.4,128.73,138.09,,133.25,123.44,137.47,121.34,,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-18,1991,3,,143.38,129.96,109.75,129.83,138.37,,134.6,124.83,139.53,122.69,142.27,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-03-25,1991,3,,142.49,130.06,110.8,130.56,137.63,,135.12,125.86,141.99,123.78,142.16,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-01,1991,4,,140.94,129.34,111.5,130.93,136.35,,134.49,126.07,144.61,124.11,141.92,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-08,1991,4,,140.42,128.66,112.2,131.37,135.54,,133.4,126.08,147.1,125.45,141.27,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-15,1991,4,,140.3,127.71,112.76,131.16,135.53,,132.49,126.07,148.66,126.0,140.7,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-22,1991,4,,140.44,127.03,113.31,131.29,135.99,,131.97,125.95,149.33,126.63,139.88,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-04-29,1991,4,,140.76,126.78,114.22,131.29,136.62,,131.81,125.72,149.87,126.39,139.01,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-06,1991,5,,141.37,127.84,114.78,131.33,139.51,,132.32,125.74,150.36,126.94,138.09,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-13,1991,5,,142.74,129.7,115.34,131.37,143.93,,133.45,125.85,150.42,128.03,138.1,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-20,1991,5,,144.29,131.67,116.42,131.5,,,135.6,126.67,150.22,129.19,139.39,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-05-27,1991,5,,145.71,133.69,117.79,132.06,152.0,,138.07,,149.89,130.53,142.52,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-03,1991,6,,147.04,135.74,119.28,,155.0,,140.03,,149.71,132.92,146.65,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-10,1991,6,,148.09,137.35,120.78,,157.99,,141.46,129.87,149.94,133.93,151.08,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-17,1991,6,,148.41,138.15,121.92,,160.62,,142.62,130.96,150.16,133.94,155.15,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-06-24,1991,6,,148.58,138.24,123.07,138.4,161.76,,143.47,131.62,150.44,134.3,158.37,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-01,1991,7,,148.46,138.25,123.87,139.55,161.41,,144.41,131.82,150.41,134.45,160.83,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-08,1991,7,,148.44,138.46,124.14,141.05,161.21,,144.93,131.18,150.25,134.28,162.15,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-15,1991,7,,147.25,137.32,124.12,142.12,160.67,,144.97,129.62,150.48,132.08,162.29,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-22,1991,7,,144.85,136.26,123.45,143.15,157.99,,143.67,127.79,150.25,128.06,162.0,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-07-29,1991,7,,142.99,135.56,122.78,144.27,154.89,,141.14,125.25,150.24,125.54,161.75,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-08-05,1991,8,,142.84,135.59,121.67,144.54,152.45,,138.81,122.6,149.69,124.99,162.05,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
1991-08-12,1991,8,,143.15,136.19,120.55,144.53,150.96,,137.43,119.88,148.98,124.75,163.11,,3.22,6.25,4.05,3.21,5.93,3.21,21041.66,21956.53,23357.76,21675.71,14811.9,14087.21
