TIME,year,month,T#AT#pigmeat_s,T#BE#pigmeat_s,T#CZ#pigmeat_s,T#DE#pigmeat_s,T#DK#pigmeat_s,T#EE#pigmeat_s,T#EL#pigmeat_s,T#ES#pigmeat_s,T#FI#pigmeat_s,T#FR#pigmeat_s,T#HR#pigmeat_s,T#HU#pigmeat_s,T#IE#pigmeat_s,T#LT#pigmeat_s,T#LU#pigmeat_s,T#LV#pigmeat_s,T#NL#pigmeat_s,T#PL#pigmeat_s,T#PT#pigmeat_s,T#RO#pigmeat_s,T#SE#pigmeat_s,T#SI#pigmeat_s,T#SK#pigmeat_s,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2014-02-10,2014,2,171.32,,163.08,,155.62,172.21,,,178.29,,172.06,163.11,,169.87,162.0,,,161.01,,177.04,186.38,,167.24,0.45,0.38,0.99,0.56,0.07,0.23,47620.34,35564.92,47777.45,43002.0,29451.3,55144.79
2014-02-17,2014,2,170.95,143.36,161.98,161.71,154.76,171.49,,,177.37,,170.04,162.58,,167.9,161.81,,,158.81,,173.33,185.98,,166.26,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-02-24,2014,2,171.02,142.93,161.37,161.09,153.57,171.21,,,177.01,,168.64,162.04,,164.88,161.39,,,155.62,,169.37,185.55,,165.62,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-03-03,2014,3,171.04,142.09,160.72,160.04,151.98,168.76,,,176.28,,166.44,161.12,,161.21,160.37,,,153.26,,165.7,185.38,,164.46,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-03-10,2014,3,170.68,141.09,160.22,159.42,150.75,167.49,,,175.91,,164.77,159.88,,157.91,159.66,158.57,,151.32,,162.21,186.16,,163.17,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-03-17,2014,3,170.94,141.17,159.46,159.16,149.87,166.5,,,175.18,,162.73,159.81,,155.63,159.94,155.45,,150.82,,158.44,185.81,,161.47,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-03-24,2014,3,170.8,141.26,159.17,159.2,149.34,165.98,,,174.71,,160.89,159.05,,154.83,159.7,152.7,,150.49,,155.03,185.44,,160.61,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-03-31,2014,3,171.7,141.8,159.06,160.19,148.82,165.09,,,173.82,,160.01,159.24,,154.8,160.49,152.17,,151.5,,152.16,185.61,172.06,160.22,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-04-07,2014,4,173.14,143.49,159.54,161.83,148.77,164.83,,,173.26,,160.71,160.69,,156.4,162.19,152.64,,153.82,,150.56,184.74,173.41,160.41,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-04-14,2014,4,174.5,145.67,160.1,163.63,149.6,165.22,,,172.56,,160.45,162.25,,159.06,164.11,154.54,,157.45,,150.29,185.04,174.76,160.96,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-04-21,2014,4,175.53,147.66,160.68,165.56,150.83,165.85,,,172.16,,161.29,163.77,,163.07,166.06,157.17,,160.18,,150.92,185.31,175.59,161.69,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-04-28,2014,4,176.51,149.49,161.56,166.65,152.07,166.42,,,171.56,,162.32,165.55,,166.09,167.36,160.21,,162.62,,153.02,185.56,176.5,162.71,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-05-05,2014,5,176.24,149.79,162.6,167.13,152.97,167.2,,,171.26,,164.2,165.84,,168.28,167.6,163.05,,163.5,,156.27,186.15,176.24,163.8,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-05-12,2014,5,176.39,150.51,163.34,167.94,153.51,168.04,,,170.69,,165.97,166.6,,168.79,168.3,166.58,,164.16,,159.83,185.69,176.48,164.64,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-05-19,2014,5,176.72,151.41,164.21,168.8,154.05,168.67,,,170.43,168.57,167.41,167.61,,169.33,169.34,168.71,,164.68,,164.19,186.28,176.77,165.2,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-05-26,2014,5,177.15,152.6,165.25,169.78,154.88,168.98,,,170.23,167.71,168.22,168.84,,169.41,170.2,169.93,,165.56,,168.44,188.26,177.12,166.67,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-06-02,2014,6,177.8,153.8,166.28,171.19,155.67,168.55,,,169.97,166.0,169.81,170.07,,169.93,171.23,171.54,,166.37,,172.27,,177.57,167.69,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-06-09,2014,6,179.0,155.9,167.98,172.95,156.47,168.96,,,169.93,164.43,170.69,172.11,,170.1,172.97,172.92,,167.82,,176.17,189.52,178.97,169.35,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-06-16,2014,6,180.39,157.89,169.77,174.78,157.28,169.17,,,169.8,163.57,172.15,174.12,,171.11,174.54,173.89,,169.06,,179.64,190.04,180.34,171.18,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-06-23,2014,6,182.3,160.09,171.89,177.1,158.32,169.25,,,169.59,163.43,174.01,176.32,,172.05,176.94,175.09,,170.8,,182.9,191.46,181.97,173.09,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-06-30,2014,6,184.36,162.81,174.32,179.39,159.36,169.24,,,169.57,164.0,175.44,179.17,,173.53,179.41,176.06,,173.23,,185.92,193.26,182.75,175.6,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-07-07,2014,7,185.86,164.87,176.81,180.46,159.92,169.8,,,169.42,165.0,177.27,181.93,,175.01,180.54,176.98,,174.94,,188.37,193.57,184.8,178.2,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-07-14,2014,7,186.08,165.8,178.18,179.89,160.02,170.43,,,169.51,166.14,177.97,182.22,,175.67,180.09,177.33,,174.79,,190.29,194.12,185.63,179.11,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-07-21,2014,7,185.62,164.24,178.81,178.74,159.2,171.11,,,169.67,167.14,178.27,181.45,,175.94,179.04,176.97,,174.23,,191.78,191.56,185.6,179.67,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-07-28,2014,7,184.88,162.67,178.76,177.57,158.37,171.64,186.3,,169.62,167.57,178.12,180.58,,176.15,177.87,176.52,,173.03,,192.37,189.34,185.08,180.02,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-08-04,2014,8,183.95,161.36,178.34,176.18,157.53,171.93,187.02,,169.75,166.86,178.21,179.48,,175.45,176.67,175.47,,171.67,,192.38,188.27,184.31,180.05,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-08-11,2014,8,182.51,159.77,177.42,174.31,156.46,171.9,188.21,,170.06,166.0,177.07,178.13,,173.78,174.71,174.23,,169.64,,192.06,187.76,183.39,179.65,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-08-18,2014,8,180.9,157.59,175.77,172.38,155.39,171.87,189.56,184.39,170.25,165.0,176.04,176.21,,171.34,172.69,172.54,,167.26,,191.5,184.86,183.45,178.5,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-08-25,2014,8,179.6,155.81,173.97,171.32,154.8,171.76,189.96,182.99,170.4,163.86,174.77,174.1,,168.56,171.44,170.68,,165.25,,190.75,182.52,181.75,177.29,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-09-01,2014,9,178.98,154.09,172.85,171.43,154.4,170.99,189.59,181.52,170.28,162.57,174.59,173.73,,166.91,171.44,169.16,,164.33,,189.71,179.96,180.45,176.83,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-09-08,2014,9,178.71,154.54,172.35,171.5,154.44,170.41,188.95,179.86,170.29,161.43,174.54,174.21,,165.43,171.76,167.17,,163.75,,188.26,180.59,180.44,176.82,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-09-15,2014,9,177.61,153.84,171.68,170.37,153.34,169.85,188.37,177.9,170.26,160.0,174.71,173.91,,163.71,170.84,165.25,,162.6,,186.57,181.12,180.3,176.22,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-09-22,2014,9,175.31,151.6,170.41,168.27,151.92,169.74,187.46,174.82,170.26,158.14,173.41,172.17,,161.71,168.77,163.34,,160.45,,184.41,180.59,179.43,174.95,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-09-29,2014,9,172.45,148.53,168.78,165.39,150.36,169.41,186.62,171.0,170.0,155.71,172.42,169.75,,159.53,165.9,161.25,,158.05,,181.4,179.13,177.49,173.21,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-10-06,2014,10,169.26,144.86,166.46,162.09,148.01,168.68,185.77,166.25,169.62,152.57,171.04,166.32,,158.34,162.5,159.07,,155.51,,177.57,180.62,175.07,170.5,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-10-13,2014,10,166.04,141.16,163.76,158.57,145.66,167.84,185.32,161.19,169.23,149.29,169.28,163.25,,156.75,159.04,156.32,,153.25,,173.06,181.74,173.26,167.97,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-10-20,2014,10,162.8,137.54,160.53,154.95,143.29,167.29,185.1,156.0,169.05,146.14,167.04,159.7,,154.66,155.36,153.76,,150.92,,168.12,182.59,171.52,165.13,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-10-27,2014,10,159.92,134.23,157.31,151.7,140.91,166.76,184.68,151.15,168.79,143.0,165.04,156.29,,152.37,151.77,151.34,,148.69,,163.37,183.2,169.31,162.77,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-11-03,2014,11,158.33,131.74,154.3,149.47,140.0,165.11,184.15,146.8,168.43,140.29,163.3,153.57,,150.45,149.27,149.16,,146.9,,158.96,183.56,167.59,159.88,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-11-10,2014,11,158.21,130.46,151.92,148.2,139.43,163.11,183.46,143.65,168.09,138.43,162.2,152.32,,149.29,147.97,147.44,122.47,146.01,,155.17,183.86,167.18,157.61,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-11-17,2014,11,158.7,129.89,150.03,147.63,139.0,161.5,182.8,141.44,167.85,137.14,161.27,151.52,,149.02,147.5,145.97,121.86,145.27,,152.23,184.18,167.66,155.87,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-11-24,2014,11,159.42,130.09,149.06,147.21,139.35,159.98,182.19,140.32,167.83,136.57,160.75,151.47,,148.09,147.29,144.8,121.77,144.45,,150.76,183.61,168.37,155.09,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-12-01,2014,12,159.83,129.8,148.35,146.36,140.0,158.66,181.34,139.63,168.25,136.0,160.4,150.6,,146.63,146.53,144.17,121.2,143.0,,150.15,183.15,168.85,153.61,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-12-08,2014,12,159.94,128.84,147.66,145.17,140.65,157.26,180.81,138.87,168.26,135.14,160.54,149.39,,145.35,145.39,142.58,119.96,140.97,,150.08,182.57,169.13,152.01,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-12-15,2014,12,159.47,127.76,147.0,143.97,,155.98,180.54,138.21,168.76,134.29,160.22,147.89,,144.43,144.41,142.28,118.71,138.81,,150.12,181.78,168.82,150.02,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
2014-12-22,2014,12,158.59,126.57,146.2,142.77,,156.27,180.06,137.5,169.15,133.43,160.05,146.36,,142.76,143.34,141.63,117.96,136.67,,150.2,180.72,168.27,148.52,0.34,0.24,0.91,0.51,-0.15,0.18,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76
