TIME,year,month,T#AT#beef_adults,T#BE#beef_adults,T#CZ#beef_adults,T#DE#beef_adults,T#DK#beef_adults,T#EE#beef_adults,T#EL#beef_adults,T#ES#beef_adults,T#FI#beef_adults,T#FR#beef_adults,T#IE#beef_adults,T#IT#beef_adults,T#LT#beef_adults,T#LU#beef_adults,T#LV#beef_adults,T#NL#beef_adults,T#PL#beef_adults,T#PT#beef_adults,T#RO#beef_adults,T#SE#beef_adults,T#SI#beef_adults,T#SK#beef_adults,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2002-08-12,2002,8,254.12,231.09,,238.62,246.24,,352.24,267.01,262.59,267.25,241.56,301.45,,269.53,,213.56,,327.94,,245.78,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-08-19,2002,8,256.26,232.18,,240.18,247.04,,350.77,267.51,262.4,268.39,239.53,302.8,,269.94,,214.32,,328.51,,244.6,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-08-26,2002,8,258.84,233.12,,241.57,247.72,,349.82,268.34,261.98,269.55,237.89,304.55,,270.19,,215.6,,327.78,,244.3,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-09-02,2002,9,260.63,234.39,,242.7,248.35,,349.07,269.85,261.75,270.74,236.77,305.34,,270.8,,215.95,,327.6,,244.42,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-09-09,2002,9,262.4,235.63,,243.94,249.33,,349.77,271.09,261.56,271.72,235.79,306.34,,270.59,,216.09,,327.68,,245.24,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-09-16,2002,9,264.02,236.88,,245.1,250.63,,350.4,272.0,261.18,272.21,234.55,307.58,,270.32,,216.29,,327.59,,245.82,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-09-23,2002,9,265.66,237.8,,246.32,251.11,,351.45,271.92,260.95,272.35,233.67,308.91,,270.55,,217.22,,327.41,,246.62,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-09-30,2002,9,267.02,238.44,,247.71,252.1,,352.62,272.39,260.11,272.26,233.25,309.92,,269.44,,218.2,,327.15,,246.93,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-10-07,2002,10,268.53,238.82,,249.44,253.19,,354.01,272.74,259.55,272.06,232.86,310.16,,269.34,,219.06,,326.24,,246.87,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-10-14,2002,10,270.0,239.17,,251.35,253.89,,355.09,273.32,259.14,271.8,232.33,309.41,,269.62,,219.2,,326.83,,246.85,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-10-21,2002,10,271.58,239.21,,253.24,254.28,,355.9,273.42,259.02,271.55,231.37,308.83,,269.69,,219.71,,326.9,,246.6,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-10-28,2002,10,272.92,239.19,,254.55,254.57,,355.96,273.74,258.27,271.18,230.13,308.31,,270.35,,220.3,,327.07,,246.5,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-11-04,2002,11,274.0,239.03,,255.7,254.29,,356.35,274.58,257.76,271.26,229.24,307.44,,270.85,,221.61,,327.18,,245.69,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-11-11,2002,11,275.09,238.93,,257.05,254.04,,356.26,276.26,257.46,271.89,228.51,306.76,,272.13,,222.53,,327.61,,244.88,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-11-18,2002,11,276.14,238.8,,258.56,253.48,,356.26,278.0,257.91,272.65,228.55,306.42,,272.48,,223.77,,327.68,,244.23,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-11-25,2002,11,277.16,238.86,,260.05,252.72,,356.1,279.75,257.9,273.51,229.22,306.12,,272.45,,225.12,,328.06,,243.65,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-12-02,2002,12,277.85,239.11,,260.56,252.04,,355.74,281.23,257.63,,229.7,306.26,,273.18,,226.39,,328.49,,243.05,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-12-09,2002,12,277.47,239.4,,260.2,251.58,,355.64,282.85,257.82,275.54,230.22,306.45,,272.97,,227.7,,329.1,,242.79,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-12-16,2002,12,277.36,239.74,,260.21,250.75,,355.6,284.52,257.64,276.78,231.5,306.58,,272.53,,228.95,,329.4,,242.29,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-12-23,2002,12,277.42,240.21,,260.14,250.31,,355.5,285.53,257.97,277.68,232.9,306.85,,272.22,,229.46,,329.82,,242.19,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2002-12-30,2002,12,277.99,240.7,,260.28,249.48,,355.2,285.92,257.75,278.22,235.33,307.51,,271.9,,230.82,,330.11,,242.07,,,1.65,2.47,1.42,1.92,3.07,4.61,25006.19,22376.3,25197.27,24288.27,17106.69,32705.43
2003-01-06,2003,1,278.89,241.2,,260.85,249.55,,355.68,285.96,257.66,279.06,237.02,307.68,,273.36,,232.35,,331.06,,242.23,,,,,,,,,,,,,,
2003-01-13,2003,1,279.51,241.52,,261.75,249.48,,355.64,286.74,257.31,280.18,238.44,308.26,,274.2,,234.38,,331.68,,241.97,,,,,,,,,,,,,,
2003-01-20,2003,1,280.02,241.71,,263.23,249.44,,356.06,287.51,256.98,281.43,240.33,308.84,,274.63,,236.65,,332.5,,241.3,,,,,,,,,,,,,,
2003-01-27,2003,1,281.48,241.83,,,249.87,,355.63,287.74,256.63,282.64,242.27,309.4,,276.18,,238.3,,333.13,,240.91,,,1.61,2.58,1.2,2.02,3.05,3.97,28234.2,25319.17,28119.03,27339.5,19623.34,37561.49
2003-02-03,2003,2,282.5,241.92,,266.59,249.78,,356.27,287.78,256.4,283.75,243.56,309.73,,277.47,,239.42,,333.95,,240.66,,,1.61,2.61,1.14,2.05,3.05,3.81,29041.2,26054.89,28849.47,28102.31,20252.51,38775.5
2003-02-10,2003,2,283.29,242.06,,268.52,249.91,,357.27,288.46,255.63,284.81,244.43,310.39,,279.11,,240.44,,334.87,,240.83,,,1.6,2.64,1.09,2.07,3.04,3.65,29848.21,26790.6,29579.92,28865.12,20881.67,39989.52
2003-02-17,2003,2,283.4,242.26,,270.59,250.47,,,289.03,255.08,285.61,244.15,310.84,,279.69,,239.45,,335.46,,241.77,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-02-24,2003,2,283.54,242.49,,272.05,250.2,,,289.79,254.25,285.9,243.42,311.36,,280.25,,238.38,,336.04,,242.31,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-03-03,2003,3,283.65,242.64,,272.74,249.96,,360.87,289.57,253.81,285.84,242.06,311.67,,281.44,,236.8,,336.65,,243.88,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-03-10,2003,3,283.63,243.05,,273.33,249.82,,361.67,289.08,253.71,285.35,240.27,311.58,,282.05,,235.78,,337.04,,,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-03-17,2003,3,283.0,243.42,,273.61,249.1,,363.61,288.71,253.48,284.59,238.61,312.46,,282.51,,234.69,,337.34,,,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-03-24,2003,3,281.86,243.61,,273.48,249.29,,364.44,288.23,253.09,283.63,237.24,313.66,,282.68,,234.57,,337.85,,250.38,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-03-31,2003,3,280.3,243.73,,271.75,249.4,,364.79,287.03,252.83,282.44,236.56,313.95,,282.65,,234.19,,338.32,,252.49,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-04-07,2003,4,278.51,243.77,,268.87,249.4,,365.16,286.09,252.48,281.2,236.05,314.15,,283.37,,234.84,,338.93,,254.73,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-04-14,2003,4,276.29,243.79,,266.04,248.0,,365.21,285.13,252.3,280.01,235.67,314.79,,284.03,,235.01,,339.41,,257.12,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-04-21,2003,4,274.33,244.01,,263.67,249.05,,366.28,284.44,251.97,278.59,235.48,314.67,,284.19,,234.77,,339.8,,258.88,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-04-28,2003,4,272.51,244.06,,261.5,246.81,,366.57,284.46,251.32,277.25,235.18,314.57,,284.39,,234.44,,340.12,,260.48,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-05-05,2003,5,270.95,244.55,,259.18,246.88,,366.6,285.05,250.66,276.33,235.0,313.73,,284.41,,234.32,,340.57,,261.98,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-05-12,2003,5,269.3,245.58,,256.3,246.73,,367.44,285.62,250.63,275.54,235.22,312.65,,284.84,,233.64,,340.86,,263.16,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-05-19,2003,5,267.38,,,253.27,246.39,,367.42,286.25,250.24,274.89,235.52,312.22,,285.31,,233.47,,341.17,,264.15,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-05-26,2003,5,265.21,,,250.73,246.44,,366.6,286.45,250.68,274.17,236.12,311.89,,284.96,,233.4,,341.35,,263.97,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
