TIME,year,month,T#ES#apples_fuji,T#IT#apples_fuji,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2004-11-22,2004,11,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-29,2004,11,62.47,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-06,2004,12,63.89,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-13,2004,12,64.02,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-20,2004,12,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-27,2004,12,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2005-01-03,2005,1,,,2.2,2.18,1.65,2.09,3.09,2.23,35626.59,31422.61,34165.74,33935.88,25124.45,48208.32
2005-01-10,2005,1,,,2.29,2.14,1.63,2.03,3.13,2.27,35823.78,31528.03,34224.82,34074.59,25341.9,48662.44
2005-01-17,2005,1,,,2.39,2.11,1.61,1.97,3.18,2.3,36020.96,31633.44,34283.91,34213.31,25559.35,49116.55
2005-01-24,2005,1,,,2.49,2.08,1.6,1.92,3.23,2.33,36218.15,31738.85,34342.99,34352.03,25776.8,49570.67
2005-01-31,2005,1,,,2.59,2.05,1.58,1.86,3.27,2.36,36415.33,31844.27,34402.07,34490.74,25994.25,50024.79
2005-02-07,2005,2,,,2.68,2.02,1.56,1.8,3.32,2.4,36612.52,31949.68,34461.16,34629.46,26211.7,50478.9
2005-02-14,2005,2,61.95,88.29,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-02-21,2005,2,61.56,88.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-02-28,2005,2,61.18,88.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
