TIME,year,month,T#AT#apples_golden,T#CZ#apples_golden,T#ES#apples_golden,T#FR#apples_golden,T#IT#apples_golden,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2004-02-09,2004,2,29.66,,32.7,,59.96,2.02,2.27,1.58,2.14,3.04,2.38,34747.38,30775.65,33564.33,33201.56,24421.83,46818.39
2004-02-16,2004,2,28.73,,,55.03,61.06,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-02-23,2004,2,28.09,,,55.19,59.44,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-01,2004,3,27.88,,,55.14,58.07,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-08,2004,3,27.34,,,54.95,56.82,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-15,2004,3,26.69,,,54.51,55.55,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-22,2004,3,26.3,,,54.38,54.29,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-29,2004,3,26.05,,,,54.33,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-05,2004,4,25.99,,,,53.32,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-12,2004,4,26.37,,,,54.08,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-19,2004,4,26.8,,,,55.51,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
