TIME,year,month,T#AT#chicken,T#BE#chicken,T#BG#chicken,T#CZ#chicken,T#FR#chicken,T#HR#chicken,T#HU#chicken,T#IT#chicken,T#MT#chicken,T#PL#chicken,T#PT#chicken,T#RO#chicken,T#SE#chicken,T#SI#chicken,T#SK#chicken
2021-02-08,2021,2,715.6,,304.1,,,,,,370.71,268.71,,,,437.16,
2021-02-15,2021,2,716.45,345.93,311.53,,562.86,487.34,308.45,483.43,370.54,273.37,366.43,,744.72,431.82,375.28
2021-02-22,2021,2,716.1,350.88,312.95,,564.29,477.99,307.54,474.43,376.5,275.01,367.14,,739.27,432.79,377.46
2021-03-01,2021,3,711.73,352.44,312.38,,567.14,475.63,308.65,469.43,382.46,278.72,367.86,,740.6,443.12,375.23
2021-03-08,2021,3,711.59,353.51,312.05,,570.0,473.81,309.7,465.0,388.43,279.78,369.71,258.07,745.0,442.65,377.78
2021-03-15,2021,3,717.67,358.93,311.1,,572.86,475.44,310.88,464.43,394.57,281.76,371.57,261.34,745.2,439.22,377.69
2021-03-22,2021,3,720.99,360.64,312.71,,575.71,481.0,310.7,465.86,400.71,283.27,373.43,262.96,743.07,432.68,376.67
2021-03-29,2021,3,724.36,360.34,311.69,396.1,577.14,474.73,311.08,467.86,404.75,286.04,374.57,264.31,748.67,429.83,376.1
2021-04-05,2021,4,730.39,358.24,313.03,396.52,578.57,478.96,314.28,469.71,408.79,288.59,375.71,265.56,748.45,438.13,375.02
2021-04-12,2021,4,735.4,356.91,313.5,398.3,580.0,486.34,315.1,472.29,406.68,291.76,377.14,268.28,748.64,445.34,375.35
2021-04-19,2021,4,744.27,357.44,315.17,398.79,580.0,486.38,317.53,475.86,404.57,294.74,378.57,271.88,751.99,436.07,374.71
2021-04-26,2021,4,747.3,358.62,317.13,398.95,580.0,487.73,319.93,480.29,402.46,298.99,378.86,273.66,755.91,436.31,372.94
2021-05-03,2021,5,747.84,359.65,318.82,400.18,580.0,488.59,320.4,484.29,400.61,304.43,379.14,274.95,754.59,439.02,373.4
