TIME,year,month,T#BE#tomatoes_rondes,T#BG#tomatoes_rondes,T#ES#tomatoes_rondes,T#IT#tomatoes_rondes,T#PT#tomatoes_rondes,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2004-06-28,2004,6,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-05,2004,7,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-12,2004,7,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-19,2004,7,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-26,2004,7,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-02,2004,8,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-09,2004,8,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-16,2004,8,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-23,2004,8,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-30,2004,8,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-06,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-13,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-20,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-27,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-04,2004,10,,,48.94,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-11,2004,10,,,52.11,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-18,2004,10,,,57.33,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-25,2004,10,,,60.17,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-01,2004,11,,,62.5,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-08,2004,11,,,66.94,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-15,2004,11,,,72.66,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-22,2004,11,,,78.99,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-29,2004,11,,,81.31,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-06,2004,12,,,85.6,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-13,2004,12,,,91.15,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-20,2004,12,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-27,2004,12,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2005-01-03,2005,1,,,,,,,,,,,,,,,,,
2005-01-10,2005,1,,,,,,,,,,,,,,,,,
2005-01-17,2005,1,,,,,,,,,,,,,,,,,
2005-01-24,2005,1,,,,,,2.49,2.08,1.6,1.92,3.23,2.33,36218.15,31738.85,34342.99,34352.03,25776.8,49570.67
2005-01-31,2005,1,,,,,,2.59,2.05,1.58,1.86,3.27,2.36,36415.33,31844.27,34402.07,34490.74,25994.25,50024.79
2005-02-07,2005,2,,,,,,2.68,2.02,1.56,1.8,3.32,2.4,36612.52,31949.68,34461.16,34629.46,26211.7,50478.9
2005-02-14,2005,2,,,109.0,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-02-21,2005,2,,,112.01,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-02-28,2005,2,,,112.12,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-07,2005,3,,,111.91,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-14,2005,3,,,112.49,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-21,2005,3,,,113.07,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-28,2005,3,,,110.67,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
