TIME,year,month,T#BE#eggs_cage,T#BG#eggs_cage,T#CY#eggs_cage,T#CZ#eggs_cage,T#EE#eggs_cage,T#EL#eggs_cage,T#ES#eggs_cage,T#FI#eggs_cage,T#FR#eggs_cage,T#HR#eggs_cage,T#HU#eggs_cage,T#IE#eggs_cage,T#IT#eggs_cage,T#LT#eggs_cage,T#LV#eggs_cage,T#MT#eggs_cage,T#PL#eggs_cage,T#PT#eggs_cage,T#RO#eggs_cage,T#SI#eggs_cage,T#SK#eggs_cage,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2017-08-21,2017,8,102.87,107.29,176.41,101.07,,133.29,95.83,130.78,109.79,157.65,134.46,,165.22,97.04,105.66,159.97,126.0,117.92,106.34,139.9,99.66,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-08-28,2017,8,105.65,118.37,176.41,102.52,,133.53,97.29,131.85,109.7,157.21,135.49,,167.94,98.61,106.33,161.55,128.29,120.56,109.05,140.6,101.04,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-09-04,2017,9,109.14,121.64,176.41,104.29,,134.18,99.09,132.81,110.69,156.94,137.62,133.93,171.8,100.13,108.29,164.82,131.39,122.83,112.43,141.0,102.96,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-09-11,2017,9,113.49,124.53,176.41,106.6,,134.67,101.44,135.13,113.27,156.56,139.54,133.93,177.81,101.83,109.42,168.1,132.88,125.1,114.98,141.19,105.77,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-09-18,2017,9,118.72,126.34,176.41,108.11,,135.17,104.32,137.44,116.5,156.0,141.76,133.93,184.04,103.81,111.17,169.8,135.53,127.36,117.56,140.42,108.28,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-09-25,2017,9,123.64,127.83,176.41,110.02,112.7,135.88,107.67,140.3,121.01,153.85,144.26,133.93,190.93,105.69,113.12,171.5,139.05,129.06,119.61,140.72,111.19,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-10-02,2017,10,128.93,128.67,176.41,113.38,113.45,137.72,111.83,141.99,126.45,153.69,146.94,133.93,197.84,107.53,115.85,174.1,143.17,130.76,121.37,139.71,114.75,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-10-09,2017,10,135.34,128.32,176.41,117.85,113.34,139.55,116.96,142.95,133.1,153.83,151.16,133.93,205.36,109.16,118.38,176.69,146.15,133.5,126.48,140.52,118.1,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-10-16,2017,10,142.64,128.48,176.41,121.94,114.01,141.37,124.13,143.62,141.15,153.85,155.34,133.93,211.85,111.12,125.28,179.29,152.41,137.85,131.54,140.9,123.03,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-10-23,2017,10,151.32,128.73,176.41,125.5,114.25,142.74,131.68,144.59,150.64,154.07,159.64,133.93,217.66,113.44,127.9,180.19,159.7,143.14,140.14,141.15,127.76,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-10-30,2017,10,161.24,132.98,176.41,134.86,115.63,144.82,140.07,144.63,159.14,154.95,166.74,133.93,223.13,116.13,131.41,181.76,168.88,148.62,149.61,142.28,137.04,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-11-06,2017,11,170.7,139.94,176.41,148.49,116.35,146.69,148.17,144.47,168.48,155.91,176.89,133.93,227.1,118.17,136.23,183.33,179.09,154.48,160.03,,149.43,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-11-13,2017,11,179.52,,176.41,162.62,117.37,148.34,155.19,144.14,177.58,158.11,185.9,133.93,230.41,120.4,140.59,184.9,189.41,159.58,169.99,,164.86,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-11-20,2017,11,186.85,152.04,176.41,175.03,118.8,148.8,161.21,144.83,185.97,159.5,196.08,133.93,234.16,122.73,143.35,185.58,197.36,163.74,180.46,146.7,180.62,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-11-27,2017,11,192.51,158.13,176.41,186.61,120.23,149.39,165.64,145.16,193.28,160.39,205.43,,236.96,125.67,147.31,186.25,206.29,166.85,187.34,147.78,195.72,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
2017-12-04,2017,12,196.81,160.93,176.41,197.47,121.15,149.98,167.55,145.76,199.16,162.04,215.7,,242.11,127.46,146.36,187.22,211.81,168.55,193.74,147.98,208.18,2.13,1.23,1.51,1.03,1.96,0.34,44198.48,32406.72,44652.59,38781.05,28185.32,70150.74
